Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
female,General Jewish,60-69,JanB,10/08/2021,2nd,55677,0.017960738
female,General Jewish,60-69,FebA,10/08/2021,2nd,51026,0
female,General Jewish,60-69,FebB,10/08/2021,2nd,12609,0
female,General Jewish,70-79,JanB,10/08/2021,2nd,38023,0
female,General Jewish,70-79,FebA,10/08/2021,2nd,32096,0.124626122
female,General Jewish,70-79,FebB,10/08/2021,2nd,6742,0.148323939
female,General Jewish,80+,JanB,10/08/2021,2nd,23996,0.083347225
female,General Jewish,80+,FebA,10/08/2021,2nd,22461,0
female,General Jewish,80+,FebB,10/08/2021,2nd,4328,0
female,Arab,60-69,JanB,10/08/2021,2nd,3984,0
female,Arab,60-69,FebA,10/08/2021,2nd,8547,0
female,Arab,60-69,FebB,10/08/2021,2nd,3532,0
female,Arab,70-79,JanB,10/08/2021,2nd,2220,0
female,Arab,70-79,FebA,10/08/2021,2nd,4596,0.217580505
female,Arab,70-79,FebB,10/08/2021,2nd,1747,0
female,Arab,80+,JanB,10/08/2021,2nd,1158,0
female,Arab,80+,FebA,10/08/2021,2nd,1833,0
female,Arab,80+,FebB,10/08/2021,2nd,664,0
female,ultra-Orthodox Jews,60-69,JanB,10/08/2021,2nd,2335,0
female,ultra-Orthodox Jews,60-69,FebA,10/08/2021,2nd,2477,0
female,ultra-Orthodox Jews,60-69,FebB,10/08/2021,2nd,838,0
female,ultra-Orthodox Jews,70-79,JanB,10/08/2021,2nd,1736,0
female,ultra-Orthodox Jews,70-79,FebA,10/08/2021,2nd,1789,0
female,ultra-Orthodox Jews,70-79,FebB,10/08/2021,2nd,484,0
female,ultra-Orthodox Jews,80+,JanB,10/08/2021,2nd,1162,0
female,ultra-Orthodox Jews,80+,FebA,10/08/2021,2nd,1164,0
female,ultra-Orthodox Jews,80+,FebB,10/08/2021,2nd,252,0
male,General Jewish,60-69,JanB,10/08/2021,2nd,46571,0.02147259
male,General Jewish,60-69,FebA,10/08/2021,2nd,41143,0.072916413
male,General Jewish,60-69,FebB,10/08/2021,2nd,10037,0
male,General Jewish,70-79,JanB,10/08/2021,2nd,31116,0.064275614
male,General Jewish,70-79,FebA,10/08/2021,2nd,22416,0.178443969
male,General Jewish,70-79,FebB,10/08/2021,2nd,4382,0
male,General Jewish,80+,JanB,10/08/2021,2nd,16030,0.187149095
male,General Jewish,80+,FebA,10/08/2021,2nd,13435,0.29772981
male,General Jewish,80+,FebB,10/08/2021,2nd,2416,0
male,Arab,60-69,JanB,10/08/2021,2nd,4852,0.206100577
male,Arab,60-69,FebA,10/08/2021,2nd,7899,0
male,Arab,60-69,FebB,10/08/2021,2nd,3339,0.299490866
male,Arab,70-79,JanB,10/08/2021,2nd,2176,0
male,Arab,70-79,FebA,10/08/2021,2nd,3772,0
male,Arab,70-79,FebB,10/08/2021,2nd,1267,0
male,Arab,80+,JanB,10/08/2021,2nd,920,0
male,Arab,80+,FebA,10/08/2021,2nd,1455,0
male,Arab,80+,FebB,10/08/2021,2nd,429,0
male,ultra-Orthodox Jews,60-69,JanB,10/08/2021,2nd,2290,0
male,ultra-Orthodox Jews,60-69,FebA,10/08/2021,2nd,2182,0
male,ultra-Orthodox Jews,60-69,FebB,10/08/2021,2nd,705,0
male,ultra-Orthodox Jews,70-79,JanB,10/08/2021,2nd,1484,0
male,ultra-Orthodox Jews,70-79,FebA,10/08/2021,2nd,1236,0
male,ultra-Orthodox Jews,70-79,FebB,10/08/2021,2nd,311,0
male,ultra-Orthodox Jews,80+,JanB,10/08/2021,2nd,761,1.314060447
male,ultra-Orthodox Jews,80+,FebA,10/08/2021,2nd,708,0
male,ultra-Orthodox Jews,80+,FebB,10/08/2021,2nd,140,0
female,General Jewish,60-69,JanB,11/08/2021,2nd,48523,0
female,General Jewish,60-69,JanB,11/08/2021,12+,588,0
female,General Jewish,60-69,FebA,11/08/2021,2nd,47117,0.021223762
female,General Jewish,60-69,FebA,11/08/2021,12+,55,0
female,General Jewish,60-69,FebB,11/08/2021,2nd,12140,0
female,General Jewish,60-69,FebB,11/08/2021,12+,<5,0
female,General Jewish,70-79,JanB,11/08/2021,2nd,31455,0.063582896
female,General Jewish,70-79,JanB,11/08/2021,12+,538,0
female,General Jewish,70-79,FebA,11/08/2021,2nd,28736,0.034799555
female,General Jewish,70-79,FebA,11/08/2021,12+,34,0
female,General Jewish,70-79,FebB,11/08/2021,2nd,6396,0
female,General Jewish,70-79,FebB,11/08/2021,12+,<5,0
female,General Jewish,80+,JanB,11/08/2021,2nd,20314,0.147681402
female,General Jewish,80+,JanB,11/08/2021,12+,159,0
female,General Jewish,80+,FebA,11/08/2021,2nd,20143,0
female,General Jewish,80+,FebA,11/08/2021,12+,23,0
female,General Jewish,80+,FebB,11/08/2021,2nd,4109,0
female,General Jewish,80+,FebB,11/08/2021,12+,<5,0
